"tract_id","median_rent","median_value","median_income","median_year_built","avg_household_size"
"34017012400",969,348200,95439,1939,3
"34017012500",1156,328600,95000,1948,3
"34017012600",1167,298200,52276,1940,3
"34017012700",1178,293400,63480,1957,3
"34017012800",1283,306000,53879,1950,3
"34017012900",1227,322000,56941,1939,3
"34017013000",1203,306200,55929,1947,3
"34017013100",1138,314000,51932,1947,3
"34017013200",1248,286700,56990,1941,3
"34017013300",1242,292800,57236,1946,3
"34017013400",1319,260500,59038,1947,3
"34017013500",1201,295300,47382,1963,3
"34017013600",1257,363200,48833,1962,3
"34017013700",1245,290400,61466,1958,3
"34017013800",1701,321300,78382,1979,2
"34017013900",1243,326900,70625,1968,3
"34017014000",1386,357700,55232,1953,3
"34017014101",1672,254500,82160,1968,2
"34017014102",1210,302900,57118,1956,2
"34017014200",1166,338800,57411,1939,3
"34017014300",1250,362600,57917,1949,3
"34017014400",1568,310900,64946,1960,3
"34017014501",1397,295700,56555,1972,4
"34017014502",409,281000,17340,1972,2
"34017014600",1369,294900,67500,1966,4
"34017014700",1460,273400,56653,1962,3
"34017014800",1130,243900,45817,1965,3
"34017014900",1197,288700,59289,1946,3
"34017015001",2171,254300,92679,1975,2
"34017015002",1259,338600,42162,1964,3
"34017015100",1267,335300,50920,1960,3
"34017015201",2019,281400,119107,1974,2
"34017015202",1307,320100,52423,1951,3
"34017015300",1065,336500,40417,1943,3
"34017015500",1265,296900,46161,1954,3
"34017015600",1070,270800,39512,1954,3
"34017015700",1293,260100,52472,1939,3
"34017015801",2874,561700,132643,2003,2
"34017015802",1084,377500,45057,1966,2
"34017015900",1089,249600,37860,1949,3
"34017016000",1104,257100,45208,1955,3
"34017016100",1125,299400,43676,1955,3
"34017016200",1115,319900,35942,1945,3
"34017016300",1146,285000,47000,1967,3
"34017016400",1120,293300,31761,1954,3
"34017016500",1169,252000,48750,1964,3
"34017016600",1127,291600,41742,1952,3
"34017016700",1167,347700,45625,1953,3
"34017016800",1182,307000,41354,1953,3
"34017016900",1140,256500,33194,1952,3
"34017017000",1156,289800,38221,1968,3
"34017017100",1169,286200,51879,1952,3
"34017017200",1169,350000,46429,1939,3
"34017017300",1088,249100,58273,1958,2
"34017017400",1056,303900,36979,1958,3
"34017017500",1070,232700,40458,1958,3
"34017017600",1136,292100,38875,1942,3
"34017017700",992,285200,38904,1963,3
"34017017800",1033,294600,46075,1965,3
"34017017900",2737,1017200,152708,2002,2
"34017018000",1192,427000,75282,1939,2
"34017018100",1160,558900,65536,1939,2
"34017018200",1295,463800,65474,1943,2
"34017018301",2997,1078700,218173,2004,2
"34017018302",3252,836800,216300,2002,2
"34017018400",2389,607300,126358,1974,2
"34017018500",2206,604700,126591,1992,2
"34017018600",1740,628500,112773,1939,2
"34017018701",2142,764200,116053,1939,2
"34017018702",1866,629500,105815,1939,2
"34017018800",1793,515400,107069,1939,2
"34017018900",1354,576400,110313,1965,2
"34017019000",1165,533800,61504,1959,2
"34017019100",1858,586200,92431,1970,2
"34017019200",2405,579300,173750,1998,2
"34017019300",1763,526500,102770,1950,2
"34017019400",1586,597000,92011,1962,2
"34017019800",1483,477000,97042,1970,3
"34017019900",1460,344100,84410,1978,2
"34017020000",1459,400600,86923,1957,3
"34017020100",2500,,133289,2007,3
"34017032400",1086,324400,40441,1968,3
"34017980100",,,,,
